title,item_no,Country of Origin,barcode,Description,image,price,pack_price,url
BRIGHTGLOW RELIGIOUS CANDLE JESUS OF NAZARETH WHITE,Item No.: 108075,Country of Origin:,077291826046,"CS/PK Size: 12/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108075.jpg,$1.05,$12.60,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3004/0/578377-BRIGHTGLOW-RELIGIOUS-CANDLE-JESUS-OF-NAZARETH-WHITE
SCENTED CANDLE 6.2oz TROPICAL BREEZE& BRAZILIAN PALM,Item No.: 169751,Country of Origin: INDIA,665098659761,"CS/PK Size: 6/6, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/169751.jpg,$0.93,$5.58,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3004/0/578963-SCENTED-CANDLE-6_2oz-TROPICAL-BREEZE-BRAZILIAN-PALM
CANDLE GLASS JAR ASSORTED CITRONELLA SCENT 3 OZ,Item No.: 107865,Country of Origin: USA,,"CS/PK Size: 12/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/107865.jpg,$0.70,$8.40,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3004/0/577770-CANDLE-GLASS-JAR-ASSORTED-CITRONELLA-SCENT-3-OZ
CITRONELLA TEA LIGHT 50 CT,Item No.: 108509,Country of Origin: CHINA,846279057518,"CS/PK Size: 24/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/108509.jpg,$2.92,$70.08,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3004/0/579964-CITRONELLA-TEA-LIGHT-50-CT
MARBLES DECORATION,Item No.: 198801,Country of Origin: CHINA,871170019884,"CS/PK Size: 36/36, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/198801.jpg,$0.81,$29.16,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3004/0/580587-MARBLES-DECORATION
CANDLE GLASS JAR HEALING WOOD SCENT 3 OZ,Item No.: 107868,Country of Origin: USA,,"CS/PK Size: 12/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/107868.jpg,$0.70,$8.40,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3004/0/577775-CANDLE-GLASS-JAR-HEALING-WOOD-SCENT-3-OZ
"DOCUMENT FRAME 8.5""X11"" BLACK WHITE TRIM #M15018",Item No.: 412194,Country of Origin: CHINA,858374009934,"CS/PK Size: 24/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/412194.jpg,$1.05,$25.20,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3004/0/582285-DOCUMENT-FRAME-8_5X11-BLACK-WHITE-TRIM-M15018
"PHOTO FRAME 6""X8"" WOOD & BROWN COLOR #216001",Item No.: 412196,Country of Origin: CHINA,840150500216,"CS/PK Size: 24/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/412196.jpg,$1.00,$24.00,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3004/0/582289-PHOTO-FRAME-6X8-WOOD-BROWN-COLOR-216001
KLASS LISTO HORCHATA-FRESA 14.1Z,Item No.: 212386,Country of Origin: MEXICO,754177505287,"CS/PK Size: 18/18, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/212386.jpg,$2.46,$44.28,https://www.jcsalesweb.com/(F(TDFLyo9zW7LGAAlKVPsHST-nJdFtCMrXO5Mn1jnh6voC6j3EEaIWFel9QpR4rVo92OX0dGkBayBhK9Q6FX3h5cdhC5WQx2PeQoYfZPZY3oYo_V_uUf5PU8ko2nqp-Ksj0BuXXlHJuU9wq3l2H6AcMKvB-AXbDFQUV4NJ9kRftSc1))/Catalog/Product/3045/0/580287-KLASS-LISTO-HORCHATA-FRESA-14_1Z
INOTEA BUBBLE TEA MATCHA GREEN TEA,Item No.: 117555,Country of Origin: VIETNAM,860002780047,"CS/PK Size: 24/24, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/117555.jpg,$2.23,$53.52,https://www.jcsalesweb.com/(F(TDFLyo9zW7LGAAlKVPsHST-nJdFtCMrXO5Mn1jnh6voC6j3EEaIWFel9QpR4rVo92OX0dGkBayBhK9Q6FX3h5cdhC5WQx2PeQoYfZPZY3oYo_V_uUf5PU8ko2nqp-Ksj0BuXXlHJuU9wq3l2H6AcMKvB-AXbDFQUV4NJ9kRftSc1))/Catalog/Product/3045/0/580707-INOTEA-BUBBLE-TEA-MATCHA-GREEN-TEA
SWISS MISS 6 CT HOT COCOA MILK CHOCOLATE,Item No.: 147231,Country of Origin: USA,070920474328,"CS/PK Size: 36/36, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/147231.jpg,$1.00,$36.00,https://www.jcsalesweb.com/(F(TDFLyo9zW7LGAAlKVPsHST-nJdFtCMrXO5Mn1jnh6voC6j3EEaIWFel9QpR4rVo92OX0dGkBayBhK9Q6FX3h5cdhC5WQx2PeQoYfZPZY3oYo_V_uUf5PU8ko2nqp-Ksj0BuXXlHJuU9wq3l2H6AcMKvB-AXbDFQUV4NJ9kRftSc1))/Catalog/Product/3045/0/581218-SWISS-MISS-6-CT-HOT-COCOA-MILK-CHOCOLATE
HAIR JAW CLIP 24PC ASST COLOR,Item No.: 115366,Country of Origin: CHINA,659499897662,"CS/PK Size: 600/12, Default UM is PK",https://www.jcsalesweb.com/ProductImages/large/115366.jpg,$0.58,$6.96,https://www.jcsalesweb.com/(F(Q3F9aFnvsqHIENBzLLAhbad3I32l6Xg17HR8UWs64qF-ruvQEeg6eLqR8AcbYDfaPXqIcOrpiRIhhRnfqoeQPb6RnvxfHzeQtzAQj7x9g2efemjls7ZKZ-kX8GnkvlXDsv7B0iGK52dkTV5ViyvRuuxFdM_wjxTXaHEyAtk53IA1))/Catalog/Product/3006/0/582488-HAIR-JAW-CLIP-24PC-ASST-COLOR
